#,t,action_type,mo,location,value,wval,rf
1,1,thread start,seq_cst,0x7fec1cc7c0d0,-559038737,?,?
2,1,atomic write,seq_cst,0x6efe74,0,?,?
3,1,atomic write,seq_cst,0x6efe78,0,?,?
4,1,pthread create,seq_cst,0x7ffff58700a0,-175702208,?,?
5,2,thread start,seq_cst,0x7fec1e4ff128,-559038737,?,?
6,1,pthread create,seq_cst,0x7ffff5870090,-175702208,?,?
7,3,thread start,seq_cst,0x7fec1e7006a8,-559038737,?,?
8,1,pthread create,seq_cst,0x7ffff5870090,-175702208,?,?
9,4,thread start,seq_cst,0x7fec1e9819d8,-559038737,?,?
10,1,pthread create,seq_cst,0x7ffff5870090,-175702208,?,?
11,5,thread start,seq_cst,0x7fec1eb829f8,-559038737,?,?
12,5,atomic read,seq_cst,0x6efe78,0,?,3
13,4,atomic read,seq_cst,0x6efe78,0,?,3
14,4,atomic rmw,seq_cst,0x6efe74,0,1,2
15,5,atomic rmw,seq_cst,0x6efe74,1,2,14
16,5,atomic read,seq_cst,0x6efe78,0,?,3
17,3,atomic read,seq_cst,0x6efe78,0,?,3
18,2,atomic read,seq_cst,0x6efe78,0,?,3
19,3,atomic rmw,seq_cst,0x6efe74,2,3,15
20,2,atomic rmw,seq_cst,0x6efe74,3,4,19
21,3,atomic read,seq_cst,0x6efe78,0,?,3
22,4,atomic read,seq_cst,0x6efe78,0,?,3
23,3,thread yield,seq_cst,0x7fec1e7006a8,-559038737,?,?
24,4,thread yield,seq_cst,0x7fec1e9819d8,-559038737,?,?
25,5,thread yield,seq_cst,0x7fec1eb829f8,-559038737,?,?
26,3,atomic read,seq_cst,0x6efe78,0,?,3
27,5,atomic read,seq_cst,0x6efe78,0,?,3
28,4,atomic read,seq_cst,0x6efe78,0,?,3
29,5,thread yield,seq_cst,0x7fec1eb829f8,-559038737,?,?
30,2,atomic write,seq_cst,0x6efe74,0,?,?
31,4,thread yield,seq_cst,0x7fec1e9819d8,-559038737,?,?
32,3,thread yield,seq_cst,0x7fec1e7006a8,-559038737,?,?
33,4,atomic read,seq_cst,0x6efe78,0,?,3
34,2,atomic rmw,relaxed,0x6efe78,0,1,3
35,2,thread finish,seq_cst,0x7fec1e4ff128,-559038737,?,?
36,5,atomic read,seq_cst,0x6efe78,0,?,3
37,5,thread yield,seq_cst,0x7fec1eb829f8,-559038737,?,?
38,5,atomic read,seq_cst,0x6efe78,0,?,3
39,5,thread yield,seq_cst,0x7fec1eb829f8,-559038737,?,?
40,4,thread yield,seq_cst,0x7fec1e9819d8,-559038737,?,?
41,5,atomic read,seq_cst,0x6efe78,1,?,34
42,5,thread finish,seq_cst,0x7fec1eb829f8,-559038737,?,?
43,4,atomic read,seq_cst,0x6efe78,1,?,34
44,4,thread finish,seq_cst,0x7fec1e9819d8,-559038737,?,?
45,3,atomic read,seq_cst,0x6efe78,1,?,34
46,3,thread finish,seq_cst,0x7fec1e7006a8,-559038737,?,?
47,1,pthread join,seq_cst,0x7fec1e7006a8,3,?,?
48,1,pthread join,seq_cst,0x7fec1e9819d8,4,?,?
49,1,pthread join,seq_cst,0x7fec1eb829f8,5,?,?
50,1,pthread join,seq_cst,0x7fec1e4ff128,2,?,?
51,1,thread finish,seq_cst,0x7fec1cc7c0d0,-559038737,?,?
