#,t,action_type,mo,location,value,wval,rf
1,1,thread start,seq_cst,0x7fec1cc7c0d0,-559038737,?,?
2,1,atomic write,seq_cst,0x6efe74,0,?,?
3,1,atomic write,seq_cst,0x6efe78,0,?,?
4,1,pthread create,seq_cst,0x7ffff58700a0,-175702208,?,?
5,2,thread start,seq_cst,0x7fec1e4ff128,-559038737,?,?
6,1,pthread create,seq_cst,0x7ffff5870090,-175702208,?,?
7,3,thread start,seq_cst,0x7fec1e7006a8,-559038737,?,?
8,1,pthread create,seq_cst,0x7ffff5870090,-175702208,?,?
9,4,thread start,seq_cst,0x7fec1e9819d8,-559038737,?,?
10,1,pthread create,seq_cst,0x7ffff5870090,-175702208,?,?
11,5,thread start,seq_cst,0x7fec1eb829f8,-559038737,?,?
12,2,atomic read,seq_cst,0x6efe78,0,?,3
13,2,atomic rmw,seq_cst,0x6efe74,0,1,2
14,3,atomic read,seq_cst,0x6efe78,0,?,3
15,4,atomic read,seq_cst,0x6efe78,0,?,3
16,5,atomic read,seq_cst,0x6efe78,0,?,3
17,3,atomic rmw,seq_cst,0x6efe74,1,2,13
18,5,atomic rmw,seq_cst,0x6efe74,2,3,17
19,5,atomic read,seq_cst,0x6efe78,0,?,3
20,2,atomic read,seq_cst,0x6efe78,0,?,3
21,5,thread yield,seq_cst,0x7fec1eb829f8,-559038737,?,?
22,5,atomic read,seq_cst,0x6efe78,0,?,3
23,5,thread yield,seq_cst,0x7fec1eb829f8,-559038737,?,?
24,3,atomic read,seq_cst,0x6efe78,0,?,3
25,3,thread yield,seq_cst,0x7fec1e7006a8,-559038737,?,?
26,2,thread yield,seq_cst,0x7fec1e4ff128,-559038737,?,?
27,4,atomic rmw,seq_cst,0x6efe74,3,4,18
28,2,atomic read,seq_cst,0x6efe78,0,?,3
29,2,thread yield,seq_cst,0x7fec1e4ff128,-559038737,?,?
30,3,atomic read,seq_cst,0x6efe78,0,?,3
31,2,atomic read,seq_cst,0x6efe78,0,?,3
32,2,thread yield,seq_cst,0x7fec1e4ff128,-559038737,?,?
33,2,atomic read,seq_cst,0x6efe78,0,?,3
34,3,thread yield,seq_cst,0x7fec1e7006a8,-559038737,?,?
35,5,atomic read,seq_cst,0x6efe78,0,?,3
36,4,atomic write,seq_cst,0x6efe74,0,?,?
37,5,thread yield,seq_cst,0x7fec1eb829f8,-559038737,?,?
38,3,atomic read,seq_cst,0x6efe78,0,?,3
39,4,atomic rmw,relaxed,0x6efe78,0,1,3
40,4,thread finish,seq_cst,0x7fec1e9819d8,-559038737,?,?
41,3,thread yield,seq_cst,0x7fec1e7006a8,-559038737,?,?
42,2,thread yield,seq_cst,0x7fec1e4ff128,-559038737,?,?
43,2,atomic read,seq_cst,0x6efe78,0,?,3
44,2,thread yield,seq_cst,0x7fec1e4ff128,-559038737,?,?
45,3,atomic read,seq_cst,0x6efe78,0,?,3
46,5,atomic read,seq_cst,0x6efe78,1,?,39
47,5,thread finish,seq_cst,0x7fec1eb829f8,-559038737,?,?
48,2,atomic read,seq_cst,0x6efe78,1,?,39
49,2,thread finish,seq_cst,0x7fec1e4ff128,-559038737,?,?
50,3,thread yield,seq_cst,0x7fec1e7006a8,-559038737,?,?
51,3,atomic read,seq_cst,0x6efe78,0,?,3
52,3,thread yield,seq_cst,0x7fec1e7006a8,-559038737,?,?
53,3,atomic read,seq_cst,0x6efe78,1,?,39
54,3,thread finish,seq_cst,0x7fec1e7006a8,-559038737,?,?
55,1,pthread join,seq_cst,0x7fec1e7006a8,3,?,?
56,1,pthread join,seq_cst,0x7fec1e9819d8,4,?,?
57,1,pthread join,seq_cst,0x7fec1eb829f8,5,?,?
58,1,pthread join,seq_cst,0x7fec1e4ff128,2,?,?
59,1,thread finish,seq_cst,0x7fec1cc7c0d0,-559038737,?,?
