#,t,action_type,mo,location,value,wval,rf
1,1,thread start,seq_cst,0x7fd5476bf0d0,-559038737,?,?
2,1,atomic write,seq_cst,0x604218,100,?,?
3,1,pthread create,seq_cst,0x7ffcfd2a9bb0,-47539648,?,?
4,2,thread start,seq_cst,0x7fd548ec15a0,-559038737,?,?
5,1,pthread create,seq_cst,0x7ffcfd2a9bb0,-47539648,?,?
6,3,thread start,seq_cst,0x7fd5490c25b8,-559038737,?,?
7,2,atomic read,seq_cst,0x604218,100,?,2
8,2,thread finish,seq_cst,0x7fd548ec15a0,-559038737,?,?
9,3,atomic read,seq_cst,0x604218,100,?,2
10,3,thread finish,seq_cst,0x7fd5490c25b8,-559038737,?,?
11,1,pthread join,seq_cst,0x7fd548ec15a0,2,?,?
12,1,pthread join,seq_cst,0x7fd5490c25b8,3,?,?
13,1,thread finish,seq_cst,0x7fd5476bf0d0,-559038737,?,?
