#,t,action_type,mo,location,value,wval,rf
1,1,thread start,seq_cst,0x7fd759b0c0d0,-559038737,?,?
2,1,pthread create,seq_cst,0x7ffda2a248b0,-1566423008,?,?
3,2,thread start,seq_cst,0x7fd75b28da18,-559038737,?,?
4,1,pthread create,seq_cst,0x7ffda2a248b8,-1566423008,?,?
5,3,thread start,seq_cst,0x7fd75b48ef98,-559038737,?,?
6,3,atomic read,relaxed,0x602084,0,?,0
7,3,atomic write,relaxed,0x602084,1,?,?
8,3,atomic read,relaxed,0x602084,1,?,7
9,3,atomic write,relaxed,0x602084,2,?,?
10,2,atomic read,relaxed,0x602084,1,?,7
11,2,atomic write,relaxed,0x602084,2,?,?
12,3,atomic read,relaxed,0x602084,2,?,9
13,3,atomic write,relaxed,0x602084,3,?,?
14,2,atomic read,relaxed,0x602084,2,?,11
15,2,atomic write,relaxed,0x602084,3,?,?
16,2,atomic read,relaxed,0x602084,2,?,9
17,2,atomic write,relaxed,0x602084,3,?,?
18,2,atomic read,relaxed,0x602084,3,?,13
19,2,atomic write,relaxed,0x602084,4,?,?
20,2,atomic read,relaxed,0x602084,4,?,19
21,2,atomic write,relaxed,0x602084,5,?,?
22,2,thread finish,seq_cst,0x7fd75b28da18,-559038737,?,?
23,1,pthread join,seq_cst,0x7fd75b28da18,2,?,?
24,3,atomic read,relaxed,0x602084,5,?,21
25,3,atomic write,relaxed,0x602084,6,?,?
26,3,atomic read,relaxed,0x602084,6,?,25
27,3,atomic write,relaxed,0x602084,7,?,?
28,3,thread finish,seq_cst,0x7fd75b48ef98,-559038737,?,?
29,1,pthread join,seq_cst,0x7fd75b48ef98,3,?,?
30,1,atomic read,relaxed,0x602084,7,?,27
31,1,thread finish,seq_cst,0x7fd759b0c0d0,-559038737,?,?
